,Municipio,Localidad,Coordenadas,Unnamed: 3,Muestra,FECHA DE MUESTREO ,pH,Conductividad (μs/cm),As (μg/L),Flúor (mg/L),Na+ (mg/L),K+    (mg/L),Fe+ (mg/L),Ca+ (mg/L),Mg+ (mg/L),NO3- (mg/L),Cl- (mg/L), CO3-2 (mg/L),HCO3- (mg/L),Alcalinidad total                (mg CaCO3/L),SO4,Tipo de Agua
0,,,Longitud,Latitud,,,,,,,,,,,,,,,,,,
66,Durango,Fracc Fidel Velázquez,-104.60279,24.063019,125.0,2017-12-08,7.655,551.15,34.8565,3.1900000000000004,47.3765,7.891,,61.4825,2.1645000000000003,29.176699999999997,14.84195,0.0,173.25,173.25,40.85165,BICARBONATADA CALCICA Y/O MAGNESICA
67,Durango,Col IV Centenario,-104.672972,24.006209,126.0,2017-12-08,7.625,359.9,19.932000000000002,2.0949999999999998,27.558,7.5605,,37.837999999999994,2.734,17.45055,14.0718,0.0,133.65,133.65,18.44285,BICARBONATADA CALCICA Y/O MAGNESICA
68,Durango,Fracc Jardines,-104.638748,24.047314,127.0,2017-12-08,7.904999999999999,285.4,33.376,3.43,38.451499999999996,2.2119999999999997,,23.5785,0.388,10.6914,11.0224,0.0,123.75,123.75,16.55285,BICARBONATADA SODICA
69,Durango,Labor de Guadalupe,-104.59568,24.16183,128.0,2017-12-08,8.09,594.55,73.41300000000001,7.775,109.622,7.7059999999999995,,10.271,0.9824999999999999,4.3718,25.64585,0.0,222.75,222.75,23.43995,BICARBONATADA SODICA
70,Durango,Tapias,-104.697009,23.998576,129.0,2017-12-08,7.18,420.75,7.387499999999999,0.76,16.46,11.1735,,45.564,6.022,19.55555,14.822099999999999,0.0,153.45000000000005,153.45000000000005,18.10715,BICARBONATADA CALCICA Y/O MAGNESICA
71,Durango,Fracc Valle del Roció,-104.582647,24.06218351,130.0,2017-12-08,7.71,409.85,41.772999999999996,4.205,45.775499999999994,6.435499999999999,,35.974999999999994,0.8160000000000001,14.06555,18.427750000000003,0.0,118.8,118.8,34.153400000000005,BICARBONATADA SODICA
72,Durango,Cd Industrial,-104.606683,24.066975,131.0,2017-12-08,7.925,285.05,37.926500000000004,3.5999999999999996,37.323,3.5949999999999998,,18.5325,1.174,8.96265,6.8675,0.0,103.95,103.95,12.71125,BICARBONATADA SODICA
73,Durango,Col Fco Zarco,Sin coordenadas,sin coordenadas,132.0,2017-12-08,8.075,284.6,32.255,3.37,38.509,2.5425,,21.5965,0.3955,9.47545,10.3024,0.0,103.95,103.95,13.7168,BICARBONATADA SODICA
74,Durango,Fidel Velázquez Pozo,-104.60311,24.06261,133.0,2018-01-25,7.65,646.6,34.6455,3.025,48.5435,10.899000000000001,,78.306,3.743,32.588300000000004,25.1726,0.0,207.9,207.9,63.099999999999994,BICARBONATADA CALCICA Y/O MAGNESICA
75,Durango,Fracc. Las Fuentes,-104.61738,24.04487,134.0,2018-01-25,7.66,601.65,34.82,3.2792000000000003,51.150000000000006,10.254999999999999,,71.09,2.08,29.4566,13.50485,0.0,207.9,207.9,42.768299999999996,BICARBONATADA CALCICA Y/O MAGNESICA
76,Durango,Col Fco. Zarco (Pozo),-1074.64519,24.04204,135.0,2018-01-25,8.274999999999999,283.6,32.557500000000005,3.9436,31.2,1.73,,23.295,0.08,14.456700000000001,7.089700000000001,0.0,99.0,99.0,18.1991,BICARBONATADA SODICA
77,Durango,Tapias (Pozo),-104.70646,23.99612,136.0,2018-01-25,7.535,188.5,1.755,0.1615,7.1,5.87,,17.575,4.029999999999999,14.446950000000001,3.76875,0.0,69.3,69.3,12.99015,BICARBONATADA CALCICA Y/O MAGNESICA
78,Durango,Fidel Velázquez Pozo,-104.60311,24.06261,137.0,2018-01-25,7.595000000000001,665.5,35.215,3.60785,43.8,10.855,,82.06,3.2800000000000002,38.2693,15.574100000000001,0.0,207.9,207.9,72.73445,BICARBONATADA CALCICA Y/O MAGNESICA
79,Durango,Joyas del Valle Pozo,-104.61987,24.04047,138.0,2018-01-25,7.66,742.8,21.232,2.6637,56.25,10.705,,90.785,2.84,41.4751,22.93675,0.0,267.30000000000007,267.30000000000007,62.9276,BICARBONATADA CALCICA Y/O MAGNESICA
80,Durango,Fracc Guadalupe Pozo,-104.68937,24.02838,139.0,2018-01-25,7.875,389.4,42.98650000000001,3.8591999999999995,38.775000000000006,6.075,,35.9,1.255,13.0364,6.8867,0.0,133.65,133.65,27.52115,BICARBONATADA CALCICA Y/O MAGNESICA
